time,value
2025-03-27T04:20:04.697615228Z,1.4719500541687012
2025-03-27T04:20:04.710193648Z,-0.598050057888031
2025-03-27T04:20:05.125697548Z,-2.287950038909912
2025-03-27T04:20:05.820041589Z,-2.5540502071380615
2025-03-27T04:20:06.860169269Z,-1.5600000619888306
2025-03-27T04:20:07.840705597Z,1.429050087928772
2025-03-27T04:20:08.85643463Z,2.6070001125335693
2025-03-27T04:20:09.840476735Z,4.630050182342529
2025-03-27T04:20:12.855724676Z,4.72605037689209
2025-03-27T04:20:12.860114719Z,4.348050117492676
2025-03-27T04:20:13.275483605Z,4.585050106048584
2025-03-27T04:20:13.750898901Z,3.721050262451172
2025-03-27T04:20:14.700549308Z,3.120000123977661
2025-03-27T04:20:15.735590948Z,1.606950044631958
2025-03-27T04:20:17.440106789Z,1.3050000667572021
2025-03-27T04:20:18.140717147Z,1.225950002670288
2025-03-27T04:20:18.625079155Z,1.26705002784729
2025-03-27T04:20:19.575689132Z,1.221000075340271
2025-03-27T04:20:22.540701977Z,1.055999994277954
2025-03-27T04:20:22.542279269Z,-0.30105000734329224
2025-03-27T04:20:23.265508075Z,-0.25995001196861267
2025-03-27T04:20:23.735406463Z,-0.2550000250339508
2025-03-27T04:20:24.945533115Z,-0.29805001616477966
2025-03-27T04:20:25.985094995Z,-0.5659500360488892
2025-03-27T04:20:26.9408238Z,-0.4300500154495239
2025-03-27T04:20:28.002448022Z,-0.4710000157356262
2025-03-27T04:20:29.035784978Z,-0.47805002331733704
2025-03-27T04:20:29.995040175Z,-0.43695002794265747
2025-03-27T04:20:30.935598347Z,-0.42795002460479736
2025-03-27T04:20:31.830911808Z,-0.45900002121925354
2025-03-27T04:20:32.860423415Z,-0.43905001878738403
2025-03-27T04:20:33.905904486Z,-0.7410000562667847
2025-03-27T04:20:34.885560176Z,-0.906000018119812
2025-03-27T04:20:35.820404661Z,-0.8680500388145447
2025-03-27T04:20:36.860967369Z,-0.8299500346183777
2025-03-27T04:20:37.750611938Z,-0.89205002784729
2025-03-27T04:20:38.780466635Z,-1.0639500617980957
2025-03-27T04:20:39.660893486Z,0.08595000207424164
2025-03-27T04:20:40.695271164Z,-0.1380000114440918
2025-03-27T04:20:41.675116781Z,-0.7480500340461731
2025-03-27T04:20:42.795560692Z,-1.215000033378601
2025-03-27T04:20:43.660563623Z,-1.456950068473816
2025-03-27T04:20:44.615925519Z,-1.5000001192092896
2025-03-27T04:20:45.660660055Z,-1.5700501203536987
2025-03-27T04:20:46.630747176Z,-1.6560001373291016
2025-03-27T04:20:47.660566805Z,-1.6440000534057617
2025-03-27T04:20:48.505005516Z,-1.4350500106811523
2025-03-27T04:20:49.550138119Z,-1.3399500846862793
2025-03-27T04:20:50.470853819Z,-1.440000057220459
2025-03-27T04:20:51.420170967Z,4.23105001449585
2025-03-27T04:20:52.541040544Z,4.645050048828125
2025-03-27T04:20:53.575318993Z,3.9940502643585205
2025-03-27T04:20:54.475679383Z,3.9940502643585205
2025-03-27T04:20:55.46062768Z,4.912950038909912
2025-03-27T04:20:56.390532055Z,4.663950443267822
2025-03-27T04:20:57.440140708Z,3.8140501976013184
2025-03-27T04:20:58.310126031Z,5.7460503578186035
2025-03-27T04:20:59.336325153Z,6.001950263977051
2025-03-27T04:21:00.385771323Z,4.543950080871582
2025-03-27T04:21:01.255639434Z,2.943000078201294
2025-03-27T04:21:02.216679006Z,3.0049500465393066
2025-03-27T04:21:03.350940861Z,3.876000165939331
2025-03-27T04:21:04.230799313Z,3.739950180053711
2025-03-27T04:21:05.200647601Z,3.639000177383423
2025-03-27T04:21:06.221034975Z,4.052999973297119
2025-03-27T04:21:07.185668357Z,4.2709503173828125
2025-03-27T04:21:08.135073314Z,4.669050216674805
2025-03-27T04:21:10.455911471Z,5.068950176239014
2025-03-27T04:21:10.7905622Z,5.533050060272217
2025-03-27T04:21:11.175406706Z,5.610000133514404
2025-03-27T04:21:12.140711162Z,5.029950141906738
2025-03-27T04:21:13.025244476Z,5.9659504890441895
2025-03-27T04:21:13.980105532Z,6.0859503746032715
2025-03-27T04:21:14.935671128Z,6.057000160217285
2025-03-27T04:21:15.945614335Z,6.430950164794922
2025-03-27T04:21:17.120363812Z,6.430950164794922
2025-03-27T04:21:17.910382939Z,6.654000282287598
2025-03-27T04:21:18.915489103Z,4.2330002784729
2025-03-27T04:21:19.985728957Z,2.4780001640319824
2025-03-27T04:21:20.875873934Z,2.344050168991089
2025-03-27T04:21:21.94562345Z,2.3370001316070557
2025-03-27T04:21:22.785233257Z,2.54295015335083
2025-03-27T04:21:25.515809592Z,9.196050643920898
2025-03-27T04:21:25.51738006Z,9.246000289916992
2025-03-27T04:21:26.070331983Z,9.163050651550293
2025-03-27T04:21:26.780130523Z,6.711000442504883
2025-03-27T04:21:27.735481915Z,6.711000442504883
2025-03-27T04:21:28.720049274Z,1.981950044631958
2025-03-27T04:21:29.671003641Z,2.004000186920166
2025-03-27T04:21:30.625726511Z,2.041949987411499
2025-03-27T04:21:31.655658692Z,2.052000045776367
2025-03-27T04:21:32.575769343Z,1.9180500507354736
2025-03-27T04:21:35.685594288Z,2.0590500831604004
2025-03-27T04:21:35.687255449Z,3.1939501762390137
2025-03-27T04:21:36.055370198Z,2.2099502086639404
2025-03-27T04:21:36.555847258Z,1.2550500631332397
2025-03-27T04:21:37.591189697Z,1.2880500555038452
2025-03-27T04:21:38.545754602Z,1.6540501117706299
2025-03-27T04:21:39.510697668Z,1.7530500888824463
2025-03-27T04:21:40.550866259Z,1.6710001230239868
2025-03-27T04:21:41.445694213Z,1.8510000705718994
2025-03-27T04:21:42.46533837Z,1.6740000247955322
2025-03-27T04:21:43.355351242Z,1.6690500974655151
2025-03-27T04:21:44.400524588Z,1.7170500755310059
2025-03-27T04:21:45.350306041Z,2.562000036239624
2025-03-27T04:21:46.310372562Z,0.44805002212524414
2025-03-27T04:21:47.365503694Z,0.8740500211715698
2025-03-27T04:21:48.30551368Z,0.6970500349998474
2025-03-27T04:21:49.26044796Z,0.6820500493049622
2025-03-27T04:21:51.78987224Z,0.6559500098228455
2025-03-27T04:21:52.145574745Z,0.6559500098228455
2025-03-27T04:21:52.49095181Z,0.6660000085830688
2025-03-27T04:21:53.255177288Z,0.661050021648407
2025-03-27T04:21:54.295592289Z,0.6559500098228455
2025-03-27T04:21:55.12048535Z,0.661050021648407
2025-03-27T04:21:56.075554426Z,0.6630000472068787
2025-03-27T04:21:57.060634888Z,0.6540000438690186
2025-03-27T04:21:58.075745193Z,0.6559500098228455
2025-03-27T04:21:59.015767025Z,0.6510000228881836
2025-03-27T04:22:01.520797779Z,0.6540000438690186
2025-03-27T04:22:01.900611343Z,0.6679500341415405
2025-03-27T04:22:02.310643281Z,0.6679500341415405
